"Model","Violations","Expected","Kupiec_LR_UC","Kupiec_p_value","Mean_ZP_Loss"
"BDMM-SS",11,8.25,0.877535847323716,0.348877480284074,0.0100713429351
"BDMM-NR",7,8.25,0.209698992326135,0.647003433056965,0.0104306888740061
"BDMM-K",10,8.25,0.367048448876282,0.54461752849098,0.00911143717096203
"DMA",11,8.25,0.877535847323716,0.348877480284074,0.00934784432844378
"DMS",9,8.25,0.069799039603517,0.791629603028256,0.0114029025451352
"DMA-K",11,8.25,0.877535847323716,0.348877480284074,0.00946758622591391
"B-LASSO",10,8.25,0.367048448876282,0.54461752849098,0.0113345460300555
"B-RIDGE",10,8.25,0.367048448876282,0.54461752849098,0.011534757664793
"BMA",7,8.25,0.209698992326135,0.647003433056965,0.0129416665558041
"BMS",8,8.25,0.00805197360924749,0.92849955835332,0.0146287577031747
"TVP-REG",8,8.25,0.00805197360924749,0.92849955835332,0.0170646533861567
"TVP-K",7,8.25,0.209698992326135,0.647003433056965,0.0225525838361874
"Lin_reg",9,8.25,0.069799039603517,0.791629603028256,0.029107688826487
